City Council District,Name,Borough,Party,Neighborhoods,Neighborhoods2,Neighborhoods3,Neighborhoods4,Neighborhoods5,Neighborhoods6,Neighborhoods7,Neighborhoods8,Neighborhoods9,Neighborhoods10,Neighborhoods11,Neighborhoods12,Neighborhoods13,Neighborhoods14,Neighborhoods15,Neighborhoods16,Neighborhoods17,Neighborhoods18,Neighborhoods19,Neighborhoods20,Neighborhoods21,Neighborhoods22,Neighborhoods23,Neighborhoods24,Neighborhoods25,Neighborhoods26,Neighborhoods27,Neighborhoods28,Neighborhoods29,Neighborhoods30
1,Christopher Marte,Manhattan,Democrat,Financial District-Battery Park City, Tribeca-Civic Center, The Battery-Governors Island-Ellis Island-Liberty Island, SoHo-Little Italy-Hudson Square, Chinatown-Two Bridges, Lower East Side,,,,,,,,,,,,,,,,,,,,,,,,
2,Carlina Rivera,Manhattan,Democrat,Greenwich Village, Lower East Side, East Village, Midtown South-Flatiron-Union Square, Gramercy, Murray Hill-Kips Bay,,,,,,,,,,,,,,,,,,,,,,,,
3,Erik Bottcher,Manhattan,Democrat,SoHo-Little Italy-Hudson Square, West Village, Chelsea-Hudson Yards, Hell's Kitchen, Midtown South-Flatiron-Union Square, Midtown-Times Square,,,,,,,,,,,,,,,,,,,,,,,,
4,Keith Powers,Manhattan,Democrat,Midtown South-Flatiron-Union Square, Midtown-Times Square, Stuyvesant Town-Peter Cooper Village, Murray Hill-Kips Bay, East Midtown-Turtle Bay, United Nations, Upper East Side-Carnegie Hill,,,,,,,,,,,,,,,,,,,,,,,
5,Julie Menin,Manhattan,Democrat,East Midtown-Turtle Bay, United Nations, Upper East Side-Lenox Hill-Roosevelt Island, Upper East Side-Carnegie Hill, Upper East Side-Yorkville,,,,,,,,,,,,,,,,,,,,,,,,,
6,Gale A. Brewer,Manhattan,Democrat,Hell's Kitchen, Midtown-Times Square, Upper West Side-Lincoln Square, Upper West Side (Central), Central Park,,,,,,,,,,,,,,,,,,,,,,,,,
7,Shaun Abreu,Manhattan,Democrat,Upper West Side (Central), Upper West Side-Manhattan Valley, Morningside Heights, Manhattanville-West Harlem, Hamilton Heights-Sugar Hill, Washington Heights (South), Upper West Side-Manhattan Valley,,,,,,,,,,,,,,,,,,,,,,,
8,Diana Ayala,Manhattan/Bronx,Democrat,Mott Haven-Port Morris, Melrose, Concourse-Concourse Village, Upper East Side-Carnegie Hill, Upper East Side-Yorkville, East Harlem (South), East Harlem (North), Randall's Island,,,,,,,,,,,,,,,,,,,,,,
9,Yusef Salaam,Manhattan,Democrat,Morningside Heights, Manhattanville-West Harlem, Hamilton Heights-Sugar Hill, Harlem (South), Harlem (North), East Harlem (South), East Harlem (North), Upper West Side-Manhattan Valley,,,,,,,,,,,,,,,,,,,,,,
10,Carmen De La Rosa,Manhattan,Democrat,Kingsbridge-Marble Hill, Washington Heights (South), Washington Heights (North), Inwood, Highbridge Park, Inwood Hill Park,,,,,,,,,,,,,,,,,,,,,,,,
